player_code,web_name,team,position,season_minutes,season_starts,fbref_subs,fbref_unused_subs,long_form_minutes,long_form_unweighted_minutes,long_form_expected_goals_90,long_form_expected_assists_90,long_form_expected_goals_conceded_90,long_form_bonus_90,short_form_minutes,short_form_expected_goals_90,short_form_expected_assists_90,short_form_expected_goals_conceded_90,short_form_bonus_90,team_long_form_xg90,team_long_form_xgc90,team_short_form_xg90,team_short_form_xgc90,long_form_expected_goals,long_form_expected_assists,long_form_expected_goals_conceded,long_form_bonus,long_form_bps,long_form_unweighted_expected_goals,long_form_unweighted_expected_assists,long_form_unweighted_expected_goals_conceded,long_form_unweighted_bonus,long_form_unweighted_bps,long_form_bps_90,short_form_expected_goals,short_form_expected_assists,short_form_expected_goals_conceded,short_form_bonus,short_form_bps,short_form_unweighted_minutes,short_form_bps_90,now_cost,status,season_subs,fbref_starts,fbref_squads_made
462492,Gauci,Aston Villa,GK,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.6053,1.4153,1.554,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,40,u,0,0,0
123354,Hause,Aston Villa,DEF,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.6053,1.4153,1.554,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,39,a,0,0,0
469247,Iling Jr,Aston Villa,MID,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.6053,1.4153,1.554,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,54,u,0,0,0
226944,Kamara,Aston Villa,MID,1720,20,6,0,704.6,3373,0.0641,0.0572,1.1686,0.2692,524,0.079,0.0824,1.113,0.3435,1.6053,1.4153,1.554,1.27,0.5015,0.4477,9.1487,2.1079,125.3728,0.95,2.22,47.71,4,543,16.0141,0.45999999999999996,0.48000000000000004,6.48,2,90,524,15.458,50,a,6,20,26
465390,Kesler-Hayden,Aston Villa,DEF,0,0,0,0,0.1,5,0.0,0.0,1.26,0.0,0,0.0,0.0,0.0,0.0,1.6053,1.4153,1.554,1.27,0.0,0.0,0.0014,0.0,0.174,0.0,0.0,0.11,0,9,156.6,0.0,0.0,0.0,0,0,0,0.0,40,u,0,0,0
199798,Konsa,Aston Villa,DEF,2936,33,1,0,947.0,6005,0.0558,0.0196,1.3738,0.4376,540,0.07,0.0233,1.225,0.5,1.6053,1.4153,1.554,1.27,0.5868,0.2058,14.455,4.6049,176.4484,3.85,1.6199999999999999,96.1,17,1010,16.7691,0.42,0.14,7.35,3,109,540,18.1667,45,a,1,33,34
441302,Maatsen,Aston Villa,DEF,1125,10,19,0,511.7,1325,0.0835,0.1322,1.4317,0.0,341,0.1135,0.0792,1.4833,0.0,1.6053,1.4153,1.554,1.27,0.4748,0.7519,8.1402,0.0,94.8209,1.61,2.63,22.38,0,228,16.6775,0.43,0.3,5.62,0,66,341,17.4194,45,a,19,10,29
462381,Marschall,Aston Villa,GK,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.6053,1.4153,1.554,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,40,u,0,0,0
98980,Martinez,Aston Villa,GK,3195,37,0,0,942.1,6210,0.0,0.0009,1.2194,0.3346,495,0.0,0.0018,1.0182,0.7273,1.6053,1.4153,1.554,1.27,0.0,0.0098,12.7642,3.5027,162.3918,0.0,0.03,94.86,25,1097,15.5135,0.0,0.01,5.6,4,99,495,18.0,50,s,0,37,37
122806,McGinn,Aston Villa,MID,2217,27,7,0,668.9,5217,0.1303,0.0944,1.4825,0.024,330,0.1609,0.0764,1.2409,0.0,1.6053,1.4153,1.554,1.27,0.9681,0.7019,11.0179,0.1787,124.3612,8.11,7.69,84.88,10,862,16.7327,0.59,0.27999999999999997,4.55,0,72,330,19.6364,52,a,7,27,34
149484,Mings,Aston Villa,DEF,1119,12,2,0,427.8,1149,0.0681,0.0186,0.9704,0.3216,159,0.0226,0.017,0.6113,0.0,1.6053,1.4153,1.554,1.27,0.3236,0.0884,4.6124,1.5286,86.1968,0.89,0.39,14.28,5,212,18.134,0.04,0.03,1.08,0,32,159,18.1132,44,a,2,12,14
578545,Nedeljkovic,Aston Villa,DEF,121,0,5,0,9.9,121,0.0,0.0082,1.4645,0.0,0,0.0,0.0,0.0,0.0,1.6053,1.4153,1.554,1.27,0.0,0.0009,0.1611,0.0,0.1024,0.0,0.02,2.23,0,11,0.9309,0.0,0.0,0.0,0,0,0,0.0,39,u,5,0,5
111782,Olsen,Aston Villa,GK,225,1,3,0,112.0,630,0.0,0.0,2.5718,0.0533,45,0.0,0.0,3.5,0.0,1.6053,1.4153,1.554,1.27,0.0,0.0,3.2005,0.0663,12.2151,0.0,0.0,15.53,3,130,9.8157,0.0,0.0,1.75,0,2,45,4.0,45,a,3,1,4
244954,Pau,Aston Villa,DEF,2019,23,1,0,524.6,4481,0.012,0.0196,1.4583,0.3301,380,0.0,0.0213,1.485,0.2368,1.6053,1.4153,1.554,1.27,0.0699,0.114,8.5001,1.9242,84.0684,1.47,1.1400000000000001,69.69,7,715,14.4227,0.0,0.09000000000000001,6.27,1,61,380,14.4474,42,a,1,23,24
232653,Ramsey,Aston Villa,MID,1616,19,10,0,482.9,2464,0.0818,0.093,1.311,0.1524,214,0.0967,0.0589,1.1818,0.0,1.6053,1.4153,1.554,1.27,0.4387,0.499,7.0341,0.8179,71.0127,3.68,3.56,36.839999999999996,3,366,13.2349,0.23,0.14,2.81,0,29,214,12.1963,54,a,10,19,29
244850,Rogers,Aston Villa,MID,3115,37,0,0,970.1,3751,0.1745,0.1624,1.2284,0.3325,517,0.1323,0.2315,0.9609,0.1741,1.6053,1.4153,1.554,1.27,1.8807,1.7509,13.2412,3.5845,170.7242,7.84,5.57,58.25,15,648,15.8388,0.76,1.33,5.52,1,90,517,15.6673,58,a,0,37,37
248164,Sinisalo,Aston Villa,GK,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.6053,1.4153,1.554,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,40,u,0,0,0
514315,Sousa,Aston Villa,DEF,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.6053,1.4153,1.554,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,40,u,0,0,0
166989,Tielemans,Aston Villa,MID,3025,35,1,0,784.7,4638,0.1141,0.1393,1.4096,0.6563,290,0.1086,0.0559,1.3997,1.5517,1.6053,1.4153,1.554,1.27,0.9945,1.2143,12.2899,5.7218,191.9722,4.55,7.81,74.94,17,1004,22.018,0.35,0.18,4.51,5,88,290,27.3103,55,a,1,35,36
178301,Watkins,Aston Villa,FWD,2593,31,7,0,800.0,5815,0.3815,0.0783,1.4503,1.186,431,0.2568,0.1044,1.3135,1.2529,1.6053,1.4153,1.554,1.27,3.3913,0.6964,12.8913,10.5426,189.939,31.86,6.09,93.67,61,1383,21.3681,1.23,0.5,6.29,6,95,431,19.8376,92,a,7,31,38
